brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
17,2179.0,1,0,92000,10,1962,3,795000.0,2017,7,1
10,1197.0,4,3,33449,10,906,1,425000.0,2016,5,1
20,2987.0,1,0,65000,10,47,3,4775000.0,2017,7,0
20,1796.0,4,0,86000,10,577,1,1199000.0,2013,5,0
29,2494.0,4,1,53312,10,293,3,1190000.0,2015,5,0
18,1197.0,4,0,65940,10,238,3,442000.0,2018,5,0
10,1591.0,4,3,70965,10,503,1,894000.0,2019,5,0
21,1451.0,4,1,43650,10,845,1,1600000.0,2022,5,0
10,1197.0,4,1,33000,10,774,1,498000.00000000006,2016,5,0
20,1991.0,4,0,71000,10,276,1,1650000.0,2015,5,0
15,2179.0,1,1,86890,10,1280,4,1700000.0,2013,5,0
14,1493.0,1,1,11700,10,1477,3,1775000.0,2022,5,0
24,1498.0,4,0,36000,10,1512,3,330000.0,2014,5,0
30,1198.0,4,2,62000,10,1213,1,425000.0,2015,5,1
10,1493.0,1,0,12000,10,119,1,1920000.0,2022,7,0
18,1248.0,1,0,59000,10,1554,1,435000.0,2013,5,1
10,1353.0,4,1,29500,10,511,1,1600000.0,2021,5,0
18,1197.0,4,1,62108,10,242,3,406000.0,2016,5,1
18,1373.0,4,0,87235,10,654,3,535000.0,2013,7,1
30,1197.0,4,1,79032,10,1208,1,525000.0,2015,5,0
18,1462.0,4,0,42500,10,347,1,875000.0,2020,5,0
28,1199.0,4,3,39558,10,1660,1,407000.0,2018,5,1
10,1591.0,4,0,72000,10,515,1,835000.0,2017,5,0
29,2494.0,1,0,87000,10,965,3,545000.0,2011,8,1
9,1198.0,4,2,75000,10,173,1,295000.0,2014,5,1
9,1199.0,4,0,54767,10,999,1,645000.0,2018,5,0
18,1197.0,4,0,58000,10,1556,1,399000.0,2013,5,1
14,1353.0,4,0,9000,10,1458,1,1735000.0000000002,2022,5,0
2,1995.0,1,0,42000,10,1860,1,2595000.0,2018,5,0
30,1498.0,1,2,60759,10,208,3,539000.0,2019,5,0
29,1496.0,4,1,27210,10,670,1,325000.0,2011,5,1
24,1498.0,4,0,27000,10,1512,1,365000.0,2014,5,0
