Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
19,1197 cc,4,0,58000,10,1576,1,399000.0,2013,5,1
14,1353 cc,4,0,9000,10,1468,1,1735000.0000000002,2022,5,0
1,1995 cc,1,0,42000,10,1898,1,2595000.0,2018,5,0
30,1498 cc,1,2,60759,10,220,3,539000.0,2019,5,0
29,1496 cc,4,1,27210,10,712,1,325000.0,2011,5,1
24,1498 cc,4,0,27000,10,1524,1,365000.0,2014,5,0
21,2987 cc,1,1,93999,10,43,1,3400000.0,2015,7,0
29,2494 cc,1,0,118000,10,937,1,894999.9999999999,2014,7,1
19,998 cc,4,1,15344,10,1380,1,407000.0,2021,5,0
19,1248 cc,1,1,45000,10,1847,1,844999.9999999999,2018,5,0
12,1999 cc,1,0,35000,10,1946,3,1925000.0,2017,5,0
19,1197 cc,4,1,56000,10,251,1,625000.0,2018,5,1
30,1197 cc,4,0,72000,10,1221,1,695000.0,2017,5,0
15,2993 cc,1,1,62000,10,1297,1,8999000.0,2019,5,0
19,998 cc,4,1,11381,10,358,1,625000.0,2022,5,1
18,1497 cc,1,1,29183,10,1975,1,995000.0,2021,5,1
9,1498 cc,1,0,74686,10,202,1,585000.0,2018,5,0
1,1995 cc,1,1,91000,10,1909,1,2099000.0,2017,5,0
17,1451 cc,4,1,12900,10,881,1,1795000.0,2022,6,0
27,1798 cc,4,0,99000,10,1533,3,400000.0,2012,5,0
10,1186 cc,1,0,59982,10,818,1,565000.0,2017,5,1
21,1950 cc,1,2,30000,10,727,1,4199000.0,2019,5,0
8,1196 cc,4,0,49000,10,757,3,499000.0,2018,5,1
10,1493 cc,1,1,36000,10,548,3,1795000.0,2022,5,0
19,1197 cc,4,1,81000,10,1584,1,425000.0,2013,5,1
9,1199 cc,4,1,53000,10,202,1,645000.0,2018,5,0
10,1197 cc,4,0,45322,10,832,1,356000.0,2015,5,1
19,1373 cc,4,1,64000,10,391,1,515000.00000000006,2014,5,1
8,1497 cc,4,1,15100,10,638,1,775000.0,2019,5,1
19,998 cc,4,0,46436,10,359,4,375000.0,2018,5,0
19,1462 cc,4,1,17710,10,1845,1,1050000.0,2021,5,0
1,2993 cc,1,0,54100,10,71,1,2350000.0,2015,5,0
28,1199 cc,4,1,58000,10,1668,1,425000.0,2017,5,0
15,4367 cc,1,1,121000,10,1300,1,1475000.0,2012,7,0
9,1497 cc,4,1,22708,10,440,1,894999.9999999999,2019,5,0
1,1995 cc,1,0,54000,10,15,3,1689999.9999999998,2017,5,0
10,1591 cc,4,0,46000,10,532,3,750000.0,2017,5,1
9,1199 cc,4,0,18093,10,1858,1,794000.0,2021,5,1
28,1199 cc,4,2,2228,10,1687,1,690000.0,2023,5,0
9,1997 cc,4,3,60016,10,311,1,1425000.0,2019,5,0
19,1373 cc,4,0,58000,10,371,3,545000.0,2017,5,1
27,1498 cc,1,0,65000,10,1318,3,395000.0,2014,5,0
28,1373 cc,2,0,35000,10,1150,1,990000.0,2022,5,0
19,1373 cc,4,2,104705,10,373,1,418000.0,2015,5,0
19,998 cc,0,2,72000,10,1870,1,335000.0,2014,5,1
19,998 cc,4,0,36218,10,360,1,395000.0,2016,5,0
27,1798 cc,4,1,48000,10,1536,1,1895000.0,2019,5,0
21,2143 cc,1,1,68000,10,1087,3,2100000.0,2014,5,0
8,1496 cc,4,0,36000,10,638,1,1075000.0,2021,5,1
29,2393 cc,1,2,157000,10,958,1,1575000.0,2017,7,1
10,1591 cc,4,1,65000,10,532,3,690000.0,2016,5,1
10,1591 cc,4,1,65039,10,527,3,750000.0,2016,5,0
10,1197 cc,4,0,78010,10,2101,1,449000.0,2017,5,1
19,998 cc,4,0,58033,10,1878,1,325000.0,2014,5,1
10,1197 cc,4,0,40379,10,2072,1,652000.0,2018,5,0
10,1582 cc,1,1,65000,10,509,1,1025000.0,2017,5,0
19,998 cc,0,2,31999,10,1865,1,535000.0,2020,5,1
10,1197 cc,4,3,37981,10,2101,1,423000.00000000006,2016,5,1
19,1197 cc,4,0,59587,10,256,3,587000.0,2021,5,1
28,1199 cc,4,3,6100,10,176,1,825000.0,2023,5,0
19,1197 cc,4,0,28440,10,253,1,615000.0,2018,5,1
24,999 cc,4,1,49814,10,1097,1,561000.0,2021,5,1
24,1198 cc,4,0,63493,10,1124,1,262000.0,2015,5,0
10,1591 cc,4,0,86252,10,527,3,705000.0,2016,5,0
9,1497 cc,4,1,72000,10,1127,3,425000.0,2014,7,1
28,1497 cc,1,0,35000,10,1141,1,675000.0,2018,5,0
30,1197 cc,4,1,70457,10,1221,1,575000.0,2014,5,0
15,2179 cc,1,1,120000,10,780,2,1000000.0,2012,5,0
29,2393 cc,1,0,79000,10,969,1,1825000.0,2019,7,1
21,2143 cc,1,0,110000,10,1087,4,1345000.0,2013,5,0
19,1197 cc,4,0,65151,10,1563,3,333000.0,2015,5,1
10,1197 cc,4,1,68000,10,2079,3,475000.0,2017,5,1
9,1199 cc,4,0,42000,10,988,1,415000.00000000006,2015,5,1
26,999 cc,4,0,10000,10,1715,1,699000.0,2023,7,0
19,998 cc,4,1,25311,10,347,1,338000.0,2016,5,1
9,1497 cc,4,1,56987,10,430,1,555000.0,2014,5,0
21,2987 cc,1,0,77869,10,43,3,2649000.0,2014,7,0
9,1497 cc,4,0,36517,10,407,1,345000.0,2013,5,1
25,2995 cc,4,1,15000,10,340,1,15000000.0,2023,5,0
21,2143 cc,1,0,43000,10,1226,1,3699000.0,2018,5,0
19,1197 cc,4,0,57652,10,259,1,583000.0,2020,5,1
21,2987 cc,1,0,35800,10,611,1,3650000.0,2019,5,0
10,1497 cc,4,1,1700,10,544,1,2045000.0,2024,5,0
19,1197 cc,4,0,49140,10,1595,1,575000.0,2018,5,1
10,1086 cc,0,1,73890,10,1434,1,400000.0,2019,5,1
10,1591 cc,4,0,34000,10,532,1,1145000.0,2019,5,1
19,998 cc,0,2,75283,10,1865,1,585000.0,2020,5,1
21,1991 cc,4,0,56000,10,606,3,1475000.0,2014,5,0
27,999 cc,4,2,28200,10,1334,3,770000.0,2021,5,0
19,1197 cc,4,2,43671,10,250,1,542000.0,2018,5,0
14,2199 cc,1,1,42000,10,333,3,2900000.0,2020,7,0
